site_id,lat,lon
1,37.11270465,-122.3127005
2,37.10212527,-122.3283155
3,36.97447872,-122.1496546
4,36.97569098,-122.1468313
5,36.96479785,-122.134164
6,36.96085245,-122.1225674
7,36.95350018,-122.1036286
8,36.95121826,-122.0921643
9,36.94871924,-122.0801544
10,36.94654831,-122.0691272
11,36.9465778,-122.0628665
12,36.9469401,-122.0572698
13,36.94712514,-122.0515788
14,36.94936917,-122.0355462
15,36.95066196,-122.0254301
16,36.95437708,-121.9822733
17,36.95170203,-121.972862
18,36.95688498,-121.96364
19,36.95991832,-121.9598523
20,36.96632448,-121.9527369
21,36.97198693,-121.9436655
22,36.61239659,-121.8958342
23,36.61607497,-121.8970052
24,36.61962322,-121.9003027
25,36.62527454,-121.9115499
26,36.6330281,-121.9206757
27,36.63887008,-121.9272952
28,36.64038171,-121.9374561
29,36.63479814,-121.9443534
30,36.62015134,-121.9525603
31,36.61369474,-121.9602198
32,36.5922433,-121.9690452
33,36.5864838,-121.9717468
34,36.58301217,-121.9790766
35,36.57378365,-121.9765362
36,36.56606675,-121.9691266
37,36.56210392,-121.965196
38,36.56210315,-121.9595056
39,36.56195637,-121.9506675
40,36.56067333,-121.940979
41,36.55332709,-121.9371657
42,36.54795108,-121.9367144
43,36.54022566,-121.9356682
44,36.53191398,-121.9287287
45,36.52545137,-121.9324038
46,36.52374529,-121.9402779
47,36.5195128,-121.9572078
48,36.51512451,-121.9527687
49,36.51031088,-121.9459713
50,36.50392867,-121.9419738
51,36.49680311,-121.9444928
52,36.48723278,-121.9472311
53,36.48057001,-121.9432786
54,36.47203575,-121.9399945
55,36.46476012,-121.9333195
56,36.45847917,-121.9298764
57,36.45153891,-121.9327274
58,36.44237324,-121.9268878
59,36.43272503,-121.9264355
60,36.42705104,-121.9212855
61,36.41895977,-121.9195504
62,36.41156215,-121.9182386
63,36.40270599,-121.914822
64,36.39616311,-121.9092035
65,36.38952234,-121.9075002
66,36.38087561,-121.9079437
67,36.37094093,-121.908067
68,36.36605982,-121.9065917
69,36.36015616,-121.9079422
70,36.3475398,-121.9038042
71,36.3419429,-121.9006349
72,36.33729498,-121.8998258
73,36.32811251,-121.9020879
74,36.31386154,-121.9021743
75,36.3042719,-121.9026914
76,36.29635678,-121.8969858
77,36.29467617,-121.8903279
78,36.28443466,-121.8866092
79,36.2812741,-121.8768665
80,36.27440795,-121.8665645
81,36.27319274,-121.860011
82,36.26578878,-121.8554603
83,36.2625328,-121.8509976
84,36.23189849,-121.810037
85,36.23165503,-121.8038749
86,36.22891949,-121.7927091
87,36.22537185,-121.7859604
88,36.22162787,-121.7733135
89,36.21657095,-121.7663626
90,36.21242715,-121.759329
91,36.20902136,-121.75376
92,36.20466127,-121.7447583
93,36.20007667,-121.7310553
94,36.19599683,-121.7236319
95,36.18927526,-121.7141792
96,36.18486724,-121.7087734
97,36.17789093,-121.7024617
98,36.17181072,-121.6947321
99,36.16640374,-121.6855402
100,36.1629487,-121.6791007
101,36.15414248,-121.6718773
102,36.14907263,-121.6659856
103,36.13931076,-121.6589193
104,36.13363679,-121.653468
105,36.12663647,-121.647981
106,36.12135261,-121.639572
107,36.11388262,-121.6341967
108,36.10631074,-121.6298238
109,36.09885614,-121.6264763
